Employee Name,Activity Type,Date,Email,START_TIME,END_TIME
Giorgio Rinaldi,Training,6/20/2025,giorgio.rinaldi@endava.com,6/20/2025 13:56,6/20/2025 15:56
Stefano De Luca,Training,6/20/2025,stefano.de@endava.com,6/20/2025 13:55,6/20/2025 15:55
Nicola Moretti,Training,6/20/2025,nicola.moretti@endava.com,6/20/2025 14:01,6/20/2025 16:01
Luca Romano,Training,6/23/2025,luca.romano@endava.com,6/23/2025 14:05,6/23/2025 15:05
Marco Bianchi,Training,6/23/2025,marco.bianchi@endava.com,6/23/2025 13:54,6/23/2025 14:54
Giovanni Esposito,Training,6/23/2025,giovanni.esposito@endava.com,6/23/2025 13:51,6/23/2025 14:51
Antonio Russo,Training,6/23/2025,antonio.russo@endava.com,6/23/2025 13:54,6/23/2025 14:54
Francesco Greco,Training,6/23/2025,francesco.greco@endava.com,6/23/2025 13:50,6/23/2025 14:50
Matteo Conti,Training,6/23/2025,matteo.conti@endava.com,6/23/2025 14:01,6/23/2025 15:01
Alessandro Costa,Training,6/23/2025,alessandro.costa@endava.com,6/23/2025 13:53,6/23/2025 14:53
Giorgio Rinaldi,Training,6/23/2025,giorgio.rinaldi@endava.com,6/23/2025 13:54,6/23/2025 14:54
Stefano De Luca,Training,6/23/2025,stefano.de@endava.com,6/23/2025 14:01,6/23/2025 15:01
Nicola Moretti,Training,6/23/2025,nicola.moretti@endava.com,6/23/2025 13:53,6/23/2025 14:53
Luca Romano,Training,6/25/2025,luca.romano@endava.com,6/25/2025 14:04,6/25/2025 16:04
Marco Bianchi,Training,6/25/2025,marco.bianchi@endava.com,6/25/2025 13:53,6/25/2025 15:53
Giovanni Esposito,Training,6/25/2025,giovanni.esposito@endava.com,6/25/2025 13:57,6/25/2025 15:57
Antonio Russo,Training,6/25/2025,antonio.russo@endava.com,6/25/2025 14:03,6/25/2025 16:03
Francesco Greco,Training,6/25/2025,francesco.greco@endava.com,6/25/2025 13:55,6/25/2025 15:55
Matteo Conti,Training,6/25/2025,matteo.conti@endava.com,6/25/2025 13:51,6/25/2025 15:51
Alessandro Costa,Training,6/25/2025,alessandro.costa@endava.com,6/25/2025 13:59,6/25/2025 15:59
Giorgio Rinaldi,Training,6/25/2025,giorgio.rinaldi@endava.com,6/25/2025 13:56,6/25/2025 15:56
Stefano De Luca,Training,6/25/2025,stefano.de@endava.com,6/25/2025 14:00,6/25/2025 16:00
Nicola Moretti,Training,6/25/2025,nicola.moretti@endava.com,6/25/2025 13:53,6/25/2025 15:53
Luca Romano,Training,6/27/2025,luca.romano@endava.com,6/27/2025 13:58,6/27/2025 14:58
Marco Bianchi,Training,6/27/2025,marco.bianchi@endava.com,6/27/2025 13:54,6/27/2025 14:54
Giovanni Esposito,Training,6/27/2025,giovanni.esposito@endava.com,6/27/2025 13:55,6/27/2025 14:55
Antonio Russo,Training,6/27/2025,antonio.russo@endava.com,6/27/2025 13:53,6/27/2025 14:53
Francesco Greco,Training,6/27/2025,francesco.greco@endava.com,6/27/2025 13:56,6/27/2025 14:56
Matteo Conti,Training,6/27/2025,matteo.conti@endava.com,6/27/2025 14:01,6/27/2025 15:01
Alessandro Costa,Training,6/27/2025,alessandro.costa@endava.com,6/27/2025 14:04,6/27/2025 15:04
Giorgio Rinaldi,Training,6/27/2025,giorgio.rinaldi@endava.com,6/27/2025 13:53,6/27/2025 14:53
Stefano De Luca,Training,6/27/2025,stefano.de@endava.com,6/27/2025 14:05,6/27/2025 15:05
Nicola Moretti,Training,6/27/2025,nicola.moretti@endava.com,6/27/2025 13:52,6/27/2025 14:52
